sentence,language
Cleaned battery compartments,en
the backlight does not work,en
Spared part required,en
Remove hard drive to back up data,en
further repairs equipment blocked,en
Turns out,en
CD part defective,en
Heating Bulb Broken,en
Supplied part details to client,en
no,en
set top box,en
USB port snapped off,en
Burnt smell: burnt induced,en
needs a new controller,en
Broken terminal on 12V socket,en
Laser shifted,en
Hand mixer,en
connection soldered,en
DVD unit - Won't switch on,en
Broken lead in connector block,en
Cannot turn on or off with button,en
suction less,en
Cable cut and replaced,en
Electronics?,en
The head is not working,en
"Capacitor coked, cable break",en
Open circuit on the switch,en
Then she cleaned it thoroughly,en
capacitors replaced,en
Repairability-7- difficult,en
Abandonment,en
We didn't have appropriate screws,en
Sinks into the mechanism,en
the lamp no longer lights up,en
Chip on toner defective,en
Problem with components,en
Leadership role missing,en
wasn't broken,en
Descaling citric acid,en
cleaned switch,en
U/S Battery,en
Faulty right channel,en
Won't play tapes,en
cable shortened by 10cm,en
Unable to adjust power,en
Resoldered and glued pin in place,en
Light barrier does not work,en
Replacing a capacitor,en
Will be repaired later,en
"No sound, cause not found",en
doesn't light up,en
power button broken,en
Advice to go to RC Confluence,en
MC Part Drive,en
Disposal suggested,en
Guitar amp - fades in and out,en
buy new batteries,en
multiple blue screens,en
Standby circuit was defective,en
Needs batteries - part identified,en
Nothing to do about it,en
Will come back to next session,en
Sewing machine very loud!,en
cord shortened slightly,en
switch unreliable,en
Stereo Balance,en
"batteries faulty, fitted new",en
Radio 2 - 3,en
So we connected it!,en
Printer heads were blocked,en
Mechanism badly worn,en
Cause: Thermostat,en
Pedal defect,en
New spring required for switch,en
Fell into water,en
No power No power,en
switches off again and again,en
Immeasurable stop,en
Faulty electromagnetic latch?,en
Taken away,en
Solution: test bulbs one by one,en
Pointer solved,en
Replace broken cable,en
needs to be checked,en
LH element is burnt,en
Light won't turn on,en
Rewiring,en
MH battery cells - ok,en
Problem in the circuit board,en
Shorten the wire and solder,en
Laptop - Power in loose - No time,en
defect= belt tensioned,en
Inteference,en
Device can still be used,en
LED - faulty wiring,en
Issue description:Stopped!,en
Security tab disassembled,en
fallen to the ground,en
cable break inside the rewinder,en
torn dust bag,en
Wire from USB was loose,en
Very noisy and dirty,en
doesn't turn on anymore,en
Turntable belt broken,en
Problem: lid mechanism sticks,en
Movement no longer ran,en
power card to be replaced,en
Battery is defective,en
Motor overheating,en
Owner to source and try,en
didn't turn on - now working,en
Motor stopped working,en
Releasing the mower drive shaft,en
No function - error message,en
noise / clogged tank filter,en
It was unblocked and cleaned,en
Runs very slowly,en
Drive blocked,en
just needed tightening,en
Power socket defective,en
Loose contact suspected,en
It would no longer light up,en
no longer cuts,en
Transmit button defective,en
won't move,en
Table lamp,en
broken transformer plug,en
The lamp flickered,en
Cleaned the speaker cables,en
Volume control not working,en
The charger has stopped charging,en
Clean,en
Problem: 'Needs soldering',en
Soldered back,en
the problem is partially solved,en
Check carbon brushes,en
Spare part is not available,en
Overpressure... defective,en
part broken inside after fall,en
power socket internal break,en
Can now move freely again,en
Gears to be changed,en
well done Javier,en
switches on and goes off,en
Spring from switch defective,en
Power Adapter,en
Spare part installed,en
Contact cleaned,en
clean our crumbs,en
The interlock does not hold,en
Not working - sealed unit,en
V/S Elastomere,en
the machine had fallen,en
Roll-up spring,en
Not charging lose plug,en
Tuning not staying on,en
Issue: broken,en
Spillage affected keyboard,en
Thermal protection problem,en
Drive belt worn,en
assembled properly,en
Won't print,en
Fuse blew,en
Plug missing a pin,en
Object release,en
CD hung while playing,en
Downloaded user manual for him,en
descaling espresso machine,en
Belt needs replacing,en
"Light on, no suction",en
Wires loose,en
Mechanical chopper slipping,en
Dusting,en
Rubber ring and lens cleaned,en
Clock suddenly stopped working,en
Cassette compartment jammed,en
Rubber displaced,en
broken and jammed part,en
Cord does not roll up,en
overlockers with various faults,en
off-axis notched wheel,en
Min Max control connected,en
split shaft,en
Do not immerse in water,en
Transporter does not work,en
Whisk blocked -- made common,en
"No sound, transformer defective",en
Lawn mower,en
Here's to the next 40 years!,en
Needed new batteries,en
Cannot find the network,en
Full bag!!!!!,en
Motor brushes jammed,en
Repairability 4 -Easy,en
too slow,en
Flickering light,en
Mechanics sluggish,en
Plug reconnected,en
new keyboard has been ordered,en
Trigger button broken,en
Photos not visible in gallery,en
microswitch replaced,en
"print defective, contained water",en
Was all good,en
One of the hands is loose,en
Repair of the switch,en
dirt found on switch,en
Display F/w needs to reset,en
battery worn out,en
Needed to be reassembled,en
Ceramic lamp broken,en
Burnt bulb,en
part of keyboard faulty,en
CD playback not possible,en
The cassette guide was stiff,en
All voltages checked -> ok,en
used crazy glue to fix tear,en
replace transmitter battery,en
Problem with the touchscreen,en
Bypass with switch,en
head and drawer cleaning,en
No vapour,en
no longer loads,en
weighs wrong,en
Does not return to its base,en
Tried with new lead and okay,en
Device does not start,en
lamp to be changed,en
oxidised electrical contacts,en
Need to source parts,en
"Can’t open up, no spare parts",en
"Short circuit, RCD switch flies",en
CD player - Tray damaged by kids,en
Fault not diagnosed,en
Owner said paper jam,en
fixed wired connector,en
Motor cleaned,en
Repair number 76no longer turns,en
Obviously incorrect operation,en
of the 3 sensors was a bit dirty,en
Error in the electronics,en
Truck 148: Mixer blocked,en
Cable cut,en
C022,en
Connections renewed,en
Radio - No power -,en
Broken lead,en
Has been misused for a party,en
Needs replacement touchscreen,en
"Cable damaged, does not heat",en
Scorched through,en
DVD drive broken inside,en
it was blocked,en
"Contact problem, set OK",en
of use it switches off,en
Application installation,en
no more function,en
Don't fix,en
Acitor needs replacing,en
power supply unit for 24V lamp,en
Needed to be reset,en
Carousel wont advance,en
Wifi repeater: contacts cleaned,en
Machine came without function,en
Replaced Pole; & Tested,en
power supply module not available,en
Switch repaired,en
Contacts acing and disintegrated,en
replaced cable,en
"Tried fuse, bulb, no joy - Fixed",en
missing stitches,en
Scorched resistors found,en
cleaned: security pawl stuck,en
Buy replacement power supply,en
CD player in error mode,en
Power amplifier OK again,en
radio repaired,en
Button to set alarm damaged,en
Unable to find the fault,en
Amplifier is probably working OK,en
Equipped with special grease,en
electrical circuit hs,en
Paper cone is gone,en
Powerhead switch not working,en
Gives soot in chamber,en
Item is not charging,en
pressure washer - doesn't work,en
"Error not yet found, postponed",en
Boombox - Audio jack broken -,en
power cable winding,en
does not work after getting warm,en
Had trouble reassembling lamp,en
cord pulled out of socket,en
Cleaned & soldered terminals,en
wire break in winder reel,en
Camping light not working,en
paperjam,en
too much rust,en
Fabricated new latch and handle,en
No longer works,en
Recording device,en
Cord stuck,en
Check thread brake,en
Water leaking from the tank,en
Stops shredding,en
Both ends need replacing,en
Decorative Lamp,en
No problems found,en
internal power supply defective,en
Tablet won't start,en
No smartphone troubleshooting,en
"Update, bearing replaced",en
Need advice on use,en
Switch jumpered,en
"Won't spin, smells hot",en
repair is no longer worthwhile,en
Hard reset,en
Watch movement cleaned and oiled,en
Broken Mains Lead,en
Socket tightened,en
Replaced steam button,en
Clamp was repaired,en
Switch changed,en
Ceiling floodlight defective,en
no spare part available,en
Tube for fixing,en
"Does not start, very slow",en
Low suction power,en
Timer needs replacement,en
Floor washer,en
Don't know how to open,en
bobbin thread does not come up,en
cleaned up,en
Charger cable broken near plug,en
Machine does not start,en
V power supply unscrewed,en
lamps Lamp switch,en
Sends sound to right side only,en
analogen stick swapped,en
left front off to access button,en
Solution: unclog,en
Picks up paper but doesn't print,en
The machine stopped grinding,en
"charger OK, battery defective",en
"Thank you""",en
battery bad,en
Now it runs again as usual,en
Motor roller mechanism,en
Vibration pad does not work,en
Long hair trimmer no longer works,en
The contact was bad,en
No controlled problems,en
Spillage,en
Computer no longer starts up,en
Diagnsotic: motor blocked by rust,en
lever locks,en
Set posts,en
Cord does not roll in,en
"Not sure, may be the phone",en
moisture,en
Switches no longer work,en
motherboard defective,en
Need to unglue motor casing,en
Repair number 70. does not work,en
Contact error in the battery,en
Defective motor,en
"Won't turn on, there is power",en
Cloning of old hard drive,en
cleared paper jam,en
Several damaged components,en
Sustect new filter required,en
Charging socket loose contact,en
Machine leaks,en
Controlled battery,en
Advice on new hardware,en
Device: standing fan,en
Screwdriver does not rotate,en
Shortcircuit of LED module,en
Stopped,en
none; advice not to repair,en
Won't work,en
Cable break in the plug,en
keeps stopping,en
To be tested at night,en
Broken Rivet,en
Controller needs replacing,en
Making Chrome/ Word Functional,en
reverse load connector direction,en
Light blown short circut,en
low suction,en
Loses time,en
Refitted spring,en
Customer has left,en
difficult to regulate,en
motor or leakage?,en
Cleaned charger contacts,en
Motor running but not sucking,en
Connections tested,en
Adjusted the switch,en
CD is not recognized too complex,en
end of the electrical circuit,en
Image and sound go,en
Screeches loudly,en
Repair too risky,en
Power dial stuck,en
Adapt and replace plugs,en
suction tube clogged,en
def Brew group inserted,en
"Book"" was damaged",en
Front door doesn't close properly,en
Door bell,en
Postponed due to time constraints,en
Lack of suction/blockage,en
heating element burned out,en
Connection part to be replaced,en
Broken pin,en
one carbon brush defec,en
It had a contact problem,en
Solder not possible,en
Laptop - Running slow - Linux,en
Filter properly mounted,en
heating coil burnt out,en
Couldn't open it,en
Tested safe,en
Air fryer fan not working,en
Tank seal to be replaced,en
Owner will cost new screen,en
none,en
Annoying musical train,en
screen remain dark,en
Counting as fixed,en
"Very poor quality, not safe",en
CD will not play,en
Blade won't rotate,en
Volume too high,en
Owner did not possess Windows 7,en
supplied,en
No longer reels,en
no longer runs ( fuse?),en
cold solder joint eliminated,en
Jumps,en
Then descaled appliance,en
suction mechanism unblocked,en
Problem: fails to eject mini disc,en
microchip failed,en
bridged power potentiometer,en
Missing part,en
Radio/K7,en
Reached end of life,en
Computer was working slowly,en
Cleaning the start button,en
Does not light up => dust,en
Blocked power button,en
Needs modern parts fitting,en
We did not finish,en
new plug or re-solder,en
attempts to repair by resoldering,en
Blockage?,en
Needs new screen,en
vacuum cleaner nozzle broken,en
def Switch for CD drive rep,en
"Lawn mower, wheel detached",en
checked and okay,en
Too many crumbs,en
Laptop - Unstable -,en
Doesn't turn off,en
Wont turn on fully,en
Change the thermal fuse,en
fuse burnt,en
Replaced it on the appliance,en
Wire break soldered,en
Popped when turned on,en
bluetooth not working,en
com/6xr5bjmu,en
defective plug & socket,en
Burnt motor,en
broken,en
bottom plate had loose attachment,en
Programmes crash,en
Simply a blocked tube,en
bypassed thermistor,en
does not work contact error,en
Part too expensive to change,en
Solar torch not switching on,en
Volume control broken,en
Volume temperamental,en
Aerial soldered back on,en
Large ornate mains clock,en
cord no longer uncoils,en
"Cleaned, without success",en
Cassette deck faulty,en
failed to open door,en
Service turn,en
Lfz.64: Machine no longer rotates,en
Intermittent connection,en
battery empty,en
cord is loose,en
Ran out of time for this repair,en
Refixed brush,en
switch fault,en
Advice: discard,en
Advised unsafe and how to recycle,en
Borken switch,en
"Steam iron - works, but no steam",en
switches off regularly,en
of the 4 slices do not stay down,en
New 3A fuse and test okay,en
Change display glass,en
No ignition,en
Switches on - doesn't work,en
Running slow - advice give,en
Cd player defective,en
probably electronic,en
Doesn't work at all,en
USB plug: to be tested,en
Repair contact - advis cust,en
Sounds like bearing gone,en
cord does not coil up,en
needs part - semi conductor,en
Didn't have time to repair,en
cord does not roll up,en
Problem: CD drawer won't eject,en
Motor broken?,en
Moisture and rust,en
Thermal Fuse needs replacing,en
n/a,en
Control defective,en
Batteries changed,en
filter housing repaired,en
Cleaned,en
Folding numbers do not work,en
Hands come off,en
"Fuse replaced, lamp not dimmable",en
Coming back at next Repair Cafe,en
We looked at the receiving part,en
Turns off too early,en
Clock to be reconnected,en
User happy to do this himself,en
Erratic Motor,en
Potentiometer dirty,en
Faulty laser,en
Clicking but not working,en
We did not have the special tool,en
Works again on site,en
Doesn't generate steam,en
Cable not retracting,en
device not safe,en
Problem with the power button,en
Steam function now working!,en
No image / sound,en
Bobbin re-threaded,en
Lack of power causes plug,en
Windows 10 installed,en
Light flashes red slowly,en
does not work at times,en
T4A 250V fuse replacement,en
Incorrect power source,en
Have replaced fuse,en
Detached lead from charging port,en
Needs batteries,en
One of the fans not functioning,en
Re-tensioned contacts,en
Scorching smell,en
Concluded not fessible to repair,en
Amplifier,en
freed jammed motor,en
Case glued and screwed,en
Error not found - disposal,en
Bluetooth speaker,en
does not rotate properly,en
Power botton doesn't work,en
def Switch defective,en
Diagnosis: thermal fuse broken,en
Blown 13 amp fuse,en
Won't Toast,en
Fixed - faulty circuit board,en
Insulation fault - repair,en
Switch contacts loose,en
Small hifi - No sound -,en
Place connector + magnetic cable,en
was not openable,en
Only works on hose,en
Replaced Capacitors,en
"Connections cleaned, PAT tested",en
Buy new filter set,en
broken wire,en
Refuses sometimes,en
switch restored,en
Opened and removed paper,en
cap engagement handle disengaged,en
broken heating element,en
Maybe wrong fuse?,en
Coffee grinder,en
Broken tank and heavy scaling,en
Kitchen grill no longer heats up,en
Kettle won't turn on,en
Control buttons sticking,en
Bell defective,en
doesn't switch on,en
battery oxidation,en
To descale,en
"still sucks, but stinks and noisy",en
Detached electronics,en
Needs soldering,en
pump valves,en
Iron: contact worn - use 2nd base,en
False contact + switch in place,en
Drill - No power - Motor gone,en
Needle cannot be changed,en
Changed with high quality battery,en
broken teeth,en
Needs re-soldering,en
Switch pressed in no function,en
New screen but not working,en
heating wiring broken,en
Lamp holder damaged,en
Rewired 240v lead to light,en
Need to replace a diode,en
no error description available,en
More work needed,en
"Active box defective,",en
Feed not working,en
def Plug re-bent,en
Contacts cleaned and adjusted,en
unclear how parts should fit,en
Turns but no longer vacuums,en
"No, seems to work fine",en
Power cable intact,en
The repair has failed,en
Straightened,en
USB-C plug - repaired,en
"Sudden stop, stops turning",en
"Electric car wash ""just stopped""",en
"Also, no screensaver is displayed",en
Motor runs but does not suck,en
carbon brush is defective,en
keyboard,en
Lid closes with difficulty,en
Decryption key -> non-repairable,en
Plug repaired,en
Not sucking well,en
Combustion chamber cleaned,en
no longer displayed anything,en
on/off/on,en
Now they could wind it up,en
New motor fitted,en
The heater did not work anymore,en
Leaking under pressure,en
Switch defective-,en
No blockage found,en
batteries below threshold,en
Turns off and on,en
no longer reads CDs,en
Some lights don't work,en
Mechanics not repairable,en
No steam (pump?),en
intermittent,en
intermittent display,en
Needs rewiring',en
Unknown noise during sewing,en
Volume control no longer full,en
New battery ordered and inserted,en
Button goes too heavy,en
"toasted, but no longer stops",en
Broken part,en
Sometimes sticks,en
carbon brushes broken?,en
Sander - No power -,en
Slow Window 7,en
Leaky seal,en
"Bobbin replaced, renewed",en
wire break and plug replaced,en
Vintage voltmeter,en
"Electric heater, not working",en
Scraped away plastic film,en
Battery problem,en
no longer viable,en
Individual part missing,en
New jug £15,en
Laptop Hard drive to replace,en
WLAN card must be replaced,en
Lack of engine oil,en
pipe blocked,en
Was able to produce steam on test,en
works after cleaning,en
Coals in poor condition,en
instructional advice,en
too expensive,en
replacing an electrical cord,en
Not sure whether sorted,en
then it did it again,en
Needs replacement battery,en
replaced rubber drive supplied,en
Diagnosis: faulty cable reel,en
Fan switches off automatically,en
Removed jammed paper,en
rustles,en
"Engine flooded, won't start",en
Refer to RC Ixelles,en
faltered,en
TV gives negative picture,en
Shuts itself down - clean fan,en
Machine dirty,en
coals reconnected,en
Straighten arm to repair,en
Turntable,en
Made Connection Better,en
Blockage - no steam,en
Reattached hose on two sides,en
Screen does not hold,en
Device no longer winds cable,en
Looking for advice,en
Problem solved,en
Line error in the lower area,en
cord rolls back,en
Needed a new battery,en
spray doesn't work,en
stopped working mid-use,en
replaced the socket,en
False bulb contact,en
Differentiel 300mA,en
Needed to be soldered,en
electrical resistance hs,en
The plug contacts were loose,en
Lfz.34: Anchor defective,en
"Is welded to base, not repairable",en
Replaced the fuse,en
Power supply repair,en
Fixed cable,en
Speed too low,en
motor repaired,en
Not enough suction,en
Cord was loose is fixed,en
Unscrewed with a screwdriver,en
"belt derailed, we put it back on",en
flickers green,en
Reattach the power cable,en
Plug old/defective,en
Do not sew,en
faulty electrical lead,en
Repair number 25Heater defective,en
contact setting,en
Antenna torn off,en
Dimmer not working - fixed,en
Control bridged,en
loose wires in plug re-soldered,en
Unsoldered wire; re-solder,en
Doesn't work any more,en
Changing the carbon brushes,en
"Milk whisk, doesn't work",en
"OK, capacitor drained",en
"Motor blew, but fuse didn't",en
Draws no water,en
Fixer was able to show her,en
Jumpered broken trace,en
Has never worked?,en
Difficult to dismantle!,en
Backlight is broken,en
reassembled,en
Lamp - Switch - needs a switch,en
it is due to the charger,en
The motor was clogged,en
sparks,en
Power cable cut;cable changed,en
Roller sits firmly,en
Now works ok,en
We rang through the wiring,en
faulty plug,en
Some keys defective,en
Extension cord defective,en
clean up HD,en
Must be cleaned by a specialist,en
Cable re-terminated in trimmer,en
Problem: tape mechanism stuck,en
Shoulder remodel,en
Stop button not working,en
Hard drive reporting bad sectors,en
"Power on, unit not working",en
Advised to contact Canon Support,en
Loss of pressure: check pump,en
Suddenly stops sucking,en
Owner not using correctly,en
Cord ripped out from control unit,en
"element dead, no way to replace",en
Diagnosis: thermal fuse blown,en
Turns only in one direction,en
"List created, owner supplied new",en
Lower thread control levered out,en
Diagnosis: safety bypass,en
Poor contact on battery,en
Fixer has taken home to finish,en
Needs advice on new cable - given,en
Replacement pump needed,en
fault cannot be found,en
Connector switch pops out,en
Back in May with play,en
mixer not working,en
new power unit required,en
NOT OPERATING,en
motor cannot be dismantled,en
item & psu thorough check,en
Need to change the battery,en
Bent,en
Will return with part,en
Plug or cable,en
Not specified,en
failed suction feature,en
hose broken and filter jumps out,en
"Capacitor, short circuit",en
power supply changes,en
end of life water damage,en
Switch does not turn on,en
First machine goes again,en
Corroded contacts,en
Loose contact in the switch?,en
E-A switch readjusted,en
false contact-wire soldering,en
Not stated,en
Number now found and put on sheet,en
No function/heating,en
Guest gets replacement,en
No apparent fault,en
CD stuck in system,en
Edge mounted,en
Would not boot to Windows,en
broken locking pins,en
sudden stop,en
no longer rings,en
Tested HV diode (ok) and HV fuse,en
No more sound,en
Seized Bearing,en
Too big a job to fix here,en
As so often ...),en
Not the backlight,en
Switch defective bypassed,en
has steamed/ is overloaded,en
No power,en
The engine burned,en
Ink heads clogged,en
faulty ignition,en
Bipole switch repaired,en
Unlocked button,en
Fault display defective,en
Belt problem,en
Pump did work on testing,en
Set up mailbox,en
buttons no longer work,en
Corrosion,en
Beaters loose / out of sync,en
"Goes for a while, then again not",en
usb port replaced,en
Tablet stops charging,en
Sellf-fuse (?),en
does not work anymore?,en
various issues,en
Batter leather,en
wire removal and welding,en
Solution: impossible to repair,en
On/off switch broken,en
stopped suddenly,en
Draws no current,en
Needs lots more time,en
plug?,en
Reattach the usb port,en
Knob/dial came off,en
New batteries but not working,en
switch fault > order and replace,en
the water stopped rising,en
Batteries fitted upside down,en
Cable keeps rolling up,en
Worn controls,en
Electronic defective,en
Cable cut and reconnected,en
"Pump checked and restarted, OK",en
batteries knackered,en
Bi-metallic strip required,en
clock fell off wall,en
Shuttle does not work,en
belt rewind problem,en
Soldering the jack plug,en
Misalignment of the shuttle,en
end-of-life charger,en
Tri light lamp socket failure,en
regulator is broken,en
Clock switch stuck down,en
Poti and switch cleaned,en
Insertion always opens,en
Dirty switches,en
USB port,en
Hum on left speaker,en
Replace battery with new one,en
Cord eaten by rabbit,en
"Cleaned cable case, removing dirt",en
cord does not coil,en
bad flyweight,en
Fixable with parts,en
Bridging switch,en
soldering the supply cable,en
Text not aligning,en
Repair number 34Fuse blows,en
Makes weird noise,en
Switch made operable,en
Goes no more,en
"CD drive o. k. , antenna changed",en
Owner will fit or return to fit,en
An electronic component is faulty,en
Screen Blank,en
Home Button not working,en
small gear broken,en
Thermal fuse not working,en
Wrong wiring info provided,en
Fuse replaced!,en
The hard drive has been emptied,en
electronic failure,en
To be reset,en
Re-wired,en
Dust,en
"Blender, doesn't work",en
Unidentifiable faulty components,en
Overheating & losing water,en
Not repaired due to lack of time,en
waiting for a cord switch,en
the pump needs changing,en
engine no longer starts,en
does not load,en
Switching positions not possible,en
electric screwdriver,en
Plug missing,en
Heavy,en
"Brand undertain, possibly ""Man""",en
Portable radio no longer working,en
Start button to be replaced,en
print heads clogged,en
Cable break fixed,en
returns,en
nooked everything,en
new cable slider fitted,en
Potentially overheated,en
Needs plug fitted,en
Does not retract cable,en
Crank is stiff,en
Controlling Micro-switch jammed,en
Other carbons provided,en
"Hair trimmer, slow clippers",en
cable loose on engine,en
It was no longer getting warm,en
Torn string,en
plug wire not working,en
Cable break at plug,en
Maintenance/ Make laptop faster,en
"Yes, to be descaled",en
Loose connection - no power,en
Operation canceled,en
Changed battery,en
Electrical discharge on contact,en
Problem with valve,en
Switches off again and again,en
does not scan,en
Possible bearing problem,en
Partial earth/neutral leakage,en
Dropped 20 years' ago,en
volt power supply needed,en
Replacement of the plug - ok,en
Sugru used to fix,en
Up to visitor to test at home,en
armature winding defective,en
Switches on and then off again,en
Stopped and it's not the battery,en
Whisk can no longer be used,en
Antifreeze sensor problem,en
dusty,en
Plug connection defective,en
works but doesnt heat,en
Install spare part,en
Black screen on startup,en
Repair postponed,en
Cause defective cable,en
defective heating coil,en
Blocked device,en
Been wet,en
No difference,en
Now functional,en
Too difficult to repair,en
Circuit interruption,en
Does not give signal,en
Installation by owner himself,en
short circuit in powere board,en
Water runs out the side,en
Remedy: New lamp installed,en
Blocked pipe?,en
won't power on,en
Lamp requires rewiring,en
Put guard on,en
Gives a strange noise,en
"Cleaned off dust, works",en
Not heating when plugged in,en
Rice cooker: power supply repair,en
Outdoor sensor contact corroded,en
needs end,en
Blown fuse,en
Couldn't open housing to check,en
"Wrong bulb, contact bent",en
But now it appeared again,en
Detached on switch,en
Grind stand,en
Primary power supply failed,en
Remove and dust,en
Problem with volume button,en
Machine leaking,en
No fault found but not working,en
Soldering Iron,en
shorted circuit on control board,en
Does nothing,en
Not staying on,en
Flat belt must be procured,en
radiator no longer heats,en
Coals?,en
Requires soldering on cable,en
Software issue - Linux loaded,en
Form information not supplied,en
Controller is broken,en
Fan too loud,en
Switch won't stay down,en
Cleaning because of overheating,en
Lid won't turn to operate,en
"Mechanical issue, sorted",en
Update Debian,en
Turning knob made workable again,en
Switches on but does not heat up,en
Still works,en
Blade seized up,en
TV cannot be switched on,en
wire break at plug,en
Motor dosn't run,en
NO OUTCOME RECORDED,en
screw to be replaced,en
Usb defectsecond USB OK,en
Does not go on any more,en
Bypassed switch,en
Strap from wristwatch,en
"Brilliant idea and very grateful""",en
Glued,en
belt stretched - changed,en
Two of the four slots don't work,en
No backlight,en
No wifi - new driver loaded,en
Very broken and falling apart,en
radio to be repaired,en
Burnt coating,en
Debris in bulb socket,en
shows no values,en
Problem: Faulty switch,en
Undiagnosed fault,en
A piece is missing,en
Capacitor Replaced,en
Brute force,en
Roller bar jammed,en
vacuum working intermittently,en
Works :D,en
Does not hold a load,en
too little time: again next week,en
Needs new lead,en
Weak sound,en
burnt out motor,en
Cause unclear,en
trailing containers cleaned,en
Antenna connection defective,en
Fault current switch trips,en
User wants to recover the data,en
"Battery Failure, not repairable",en
no longer lights,en
Old cable frayed and dangerous,en
"factory, cannot be repaired",en
New circuit board installed,en
Needed gluing,en
plays only one CD,en
