id,problem,fault_type
rcint_47555,"Rollers not turning. Neutral wire disconnected from main board.  Unfortunately, in soldering the neutral wire back I inadvertently caused a short on the main board, so new board needed.  In the end, we decided to buy a new cleaner from cafe funds for the customer as it was my fault.",Internal damage
rcint_37784,"Won't charge Charger tested and ok, insufficient time to progress further.",Power/battery
rcint_38267,Not sucking properly Almost no suction Cleaned out (hidden!) filter.,Filter
rcint_44065,Not charging None  Advised how to plug it in properly,Other
rcint_44062,Handle broken--extender mechanism broken Mechanism within handle broken Parts glued,External damage
rcint_44296,"Not charging No sign of charging or operation No obvious fault, no customer removable components, checked to see if produce could still be under warranty, GTech site said product had 2 year warranty - suggested No obvious fault, no customer removable components, checked to see if produce could still be under warranty, GTech site said product had 2 year warranty - suggested customer check with GTech and return to Repair Cafe if not under warranty.",Power/battery
rcint_47574,brush nozzle wires for power have come unattached pivot arrangement distorted by heat caused by cables arcing,Internal damage
rcint_47575,Not working even though battery is fully charged No fault found - worked OK for me. No fault found.  Worked OK for me - possible customer had not connected the battery fully.,Other
rcint_43752,Wiring or charger. (I guess it's not charging) Broken wires. Soldered broken wires,Internal damage
rcint_37924,"Dust bin doesn't 'click' into place Dust bin doesn't 'click' into place Cleaned narrow recess to allow dust bin to sit correctly.,",Dustbag/canister
rcint_37952,won't switch on yes fixed cable,Cable/cord
rcint_43952,Doesn't suck water. None Suspect something was jammed.  Gave advice.,Internal damage
rcint_37813,"Will not charge Mains adapter dead, advice given to contact manufacturers.",Power/battery
rcint_47595,Says it's blocked Blocked ducts Unblocked with long nose'd pliers...,Blockage
rcint_47598,"won't charge charger plug broken, not repairable",Power/battery
rcint_44454,Battery won't hold charge Battaet  Keep it charged at all times. Claim fault under warranty - it's 6 months old,Power/battery
rcint_47624,Doesn't charge properly. Doesn't work. Faulty battery  Advised to replace battery.,Power/battery
rcint_47630,Starts and stops after few seconds. Dirt and debris Opened and cleaned and removed debris.,Blockage
rcint_47669,Hose and latch need replacing Hose and latch need replacing Replaced hose and latch with parts provided,Hose/tube/pipe
rcint_43819,Floor beaters don't rotate Resoldered wire to selector switch,Brush
rcint_47707,Cuts off after a few minutes Clogged,Blockage
rcint_43949,Blows out when empty as well as sucking up. Possibly worn out battery,Power/battery
rcint_43905,Not attaching to charger No fault No fault. User shown why the problem occurs,Power/battery
rcint_43982,Not working  New battery needed. Owner to buy replacement,Power/battery
rcint_43966,Stopped working.  fuse is OK  Removed broken section of mains cable and fitted new mains plug,Cable/cord
rcint_43957,Short circuit motor winding,Motor
rcint_43955,Main pcb blown & burnt,Internal damage
rcint_44039,Not charging Frayed cable causing short circuit,Cable/cord
rcint_44027,"Not switching off / not working Advised charge before use, to help diagnosis,  Needs sufficient charge to determine whether it holds charge",Power/battery
rcint_44006,Wheel not turning Wheel sticking Refitted wheel,Wheels/rollers
rcint_44053,Working intermittently Filter cleaned,Filter
rcint_44047,Keeps stopping Faulty battery  Get new battery,Power/battery
rcint_44139,Not sucking,Blockage
rcint_44166,Blocked pipe Blocked Pipe Dislodged the stuck item & blew air through it to completely clean it,Blockage
rcint_44165,Noisy Broken brush bearing,Motor
rcint_44247,"Blowing out dust, not collecting it Cleaned filter, removed blockage in tubing",Blockage
rcint_44245,Filter stuck released filter,Filter
rcint_44230,"Battery only last 5 minutes.  Can battery be removed? Battery not removable, charger not brought in - need to buy a new battery pack from Dyson e.g. ¬£67.49",Power/battery
rcint_44200,not turning on No defect found - could not reproduce fault. no defect found,Poor data
rcint_44336,Brush not working. Motor not turning.,Motor
rcint_44334,Brush not working. Motor not turning.,Motor
rcint_44391,Brushes l no longer turning Filthy dirty! Removed jammed hairs in roller. Suggest new roller.,Brush
rcint_44381,Cable pulled and it stopped working Cable connectors broken Dismantled and Resoldered cable.,Cable/cord
rcint_44378,Unable to charge Not charging,Power/battery
rcint_44426,none nff,Poor data
rcint_44465,"Doesn't switch on Doesn't work! Replaced power switch, cyclone cover and mains lead",Cable/cord
rcint_44464,lack of suction Blocked filters Cleaner filters,Filter
rcint_44450,Stopped working.  fuse is OK not working Resoldered moving contact on extension tube,Other
rcint_44448,doesn't work for long   Replace battery and keep charged,Power/battery
rcint_44443,Very noisy It whistles! Cleaned filters and check tubing was clear,Blockage
rcint_44433,lack of suction blocked suction tube Unblocked suction hose,Blockage
rcint_44469,floor wheel on head not turning hair tangled round inside  removed some hair from around wheel but still stiff.,Wheels/rollers
rcint_47803,Plastic hose has been ripped off body Plastic hose has been ripped off body Glued hose back on with epoxy,Hose/tube/pipe
rcint_47836,Blocked Blockage in tube Cleared blockage in tube.,Blockage
rcint_43504,won't turn on break in neutral power cable  found discontinuity somewhere in power cable - visitor to bring back next time for replacement.,Cable/cord
rcint_43576,Mains cable outer sleeve broken Mains cable outer sleeve broken Disassembled to shorten mains able.,Cable/cord
rcint_43559,screeching noise dirty fileter cleaned filters,Filter
rcint_43554,intermittent  replaced intermittent mains cable,Cable/cord
rcint_43535,Not working None Nothing,Poor data
rcint_43606,Lead will not stay out. Broken (What is broken? ),Cable/cord
rcint_43648,intermittant Bad connection Replaced broken wire,Internal damage
rcint_43778,Brush bath has come off (attached to handle) rechargeable vacuum cleaner Plastic part missing,External damage
rcint_43757,Cuts out after short period of use. Battery needs replacing.  Battery needed,Power/battery
rcint_47921,Superpower function not working belt needed replacing New belt,Motor
rcint_38333,blocked Blocked with debris Unblocked,Blockage
rcint_38305,Roller not rotating Roller not rotating  Needs ne roller and belt - customer to obtain if economic,Brush
rcint_38303,Not sucking properly No suction Cleaned vents & filter. Taped washer to make a better seal,Filter
rcint_47942,Vacuum cleaner not working and not charging. Battery dead.  Only measures 5v.  New battery too expensive.,Power/battery
rcint_47952,Cleaner head stuck in pole Head stuck Head pulled off and tube unit marked with tape.,Hose/tube/pipe
rcint_37766,Carpet beaters don't work Broken wire Rewired cable to carpet beater motor,Internal damage
rcint_37759,Carpet brush / roller not rotating Broken wire feeding brush/roller motor Replaced wire,Internal damage
rcint_37743,Flash of light and it stopped Shorted cable Fitted new mains cable,Cable/cord
rcint_37899,Lid not closing Lid not closing Reseated filter,Filter
rcint_37982,Suction intermittent Suction intermittent Replaced part,Internal damage
rcint_38041,Powers up but no suction No suction,Blockage
rcint_38036,Doesn't charge Battery no longer holds charge.  7 years old so needs replacing,Power/battery
rcint_38034,Stopped working.  fuse is OK Exhausted battery - 5+ years old.  Buy new battery.  Keep it charged and leave 20% in battery at all times,Power/battery
rcint_38028,Suddenly stopped working.  Fuse OK No power Cleaned terminals,Power/battery
rcint_38015,Stopped working.  fuse is OK Dead battery pack,Power/battery
rcint_38007,Dust blowing out of the pies Blocked pipes  Clean out thoroughly.  Replace filters regularly,Blockage
rcint_38061,Doesn't switch on Motor failed.  Needs new motor.,Motor
rcint_38087,Doesn't charge No fault seen  Keep it charged when not in use,Power/battery
rcint_38079,Almost no suction  Unblocked hose and used a tir-wrap to repair a hole in the hose,Blockage
rcint_38074,Fails to pick things up. Wrong filter - and it was very dirty Cut filet to size and cleaned,Filter
rcint_38073,Not sucking things up Filter filthy Cleaner filter,Filter
rcint_38117,Not charging Not charging,Power/battery
rcint_38252,"Cuts off after a few minutes cuts out unblocked various pipes, cleaned battery contacts.  Maybe battery failing",Power/battery
rcint_38135,"Filter removed, cleaned and reassembled",Filter
rcint_48067,Drive belt broken Drive belt needs replacement - customer brought one in to fit. New drive belt fitted - supplied by customer.,Motor
rcint_48073,Charger is working but machine is not - battery faulty? Problem is in the circuit board and not repairable.,Internal damage
rcint_48076,Brush not turning properly. Customer unable to wait so item not seen.  Customer could not wait - long wait as short of repairers this month.,Brush
rcint_48231,Not working Motor terminal broken Soldered and re-fitted,Motor
rcint_16718,?? ??,Poor data
rcint_8697,?? ??,Poor data
rcint_48272,Doesn't switch on  Cut back broken cable and reattached,Cable/cord
rcint_48275,"High pitched 'scream' when running Old, dirty filter  Filter needs replacing",Filter
rcint_48282,Defective mains cable  Replaced mains cable,Cable/cord
rcint_48283,Mains cable is intermittant Mains cable is intermittant Cut back mains cable and re-attached,Cable/cord
rcint_48288,Motor cuts out cable broken repaired cable,Cable/cord
rcint_48344,Noisy Noisy operation Replace brush missing from roller end - supplied by owner,Brush
rcint_48347,Not sucking up dirt Needs new secondary belt  Found fault where 2nd belt was slack.  Order new belt online.,Motor
rcint_48383,Test,Poor data
rcint_48390,button stuck button stuck took apart and reassembled,Button/switch
rcint_48391,boost not working blocked internal filter cleaned out filter,Filter
rcint_48392,"not sucking, brush not turning old battery replaced battery",Power/battery
rcint_48420,"Won't pick up from floor, only from nozzle. Possible blockage. Blocked. Unblocked.",Blockage
rcint_48425,Cannot remove screws Split pipe.  Cleaned and temporary repair effected,Hose/tube/pipe
rcint_48488,"Doesn't work Fuse missing, no fuse cradle Fitted fuse, device working",Motor
rcint_48510,Hose broken where it enters vacuum,Hose/tube/pipe
rcint_48520,Broken belt Brush not turning,Motor
rcint_48522,Motor arcing,Motor
rcint_48561,won't charge up battery pack faulty  buy new battery pack,Power/battery
rcint_48568,intermittent broken cable Shortened mains cable and re-attached.,Cable/cord
rcint_48573,Brushes / roller doesn't rotate Electronic pcb fault.,Internal damage
rcint_48581,Cable jammed in body of cleaner Cut cable and extracted cable,Cable/cord
rcint_48582,Poor Suction Suction  No fault seen but suggested a new filter,Filter
rcint_48590,intermittent Battery faulty  Battery needs replacing and advised on battery care,Power/battery
rcint_48591,Little suction Blocked hoses Removed blockages from hoses.,Blockage
rcint_48597,intermittent intermittent  Tape cable into a position that works,Cable/cord
rcint_48651,Brushes wont go round   Broken hose but rest of hoover works,Brush
rcint_48709,Does not work Faulty power connection Cleaned contact and charged,Power/battery
rcint_48744,Doesn't work Capacitor found loose Resoldered capacitor,Internal damage
rcint_48753,"Fractured handle Plastic fractured Wooden dowel made and glued back in position, advised not to use for 24 hours",External damage
rcint_48815,Won't work. Tried changing plug. Broken brush contact,Power/battery
rcint_48817,Roller motor doesn't turn Loose spade connector Spade connector,Internal damage
rcint_48849,"floor head not working properly faulty floor head  replacement head ordered, rebooked for fitting",Accessories/attachments
rcint_48850,jammed spigot jammed gear stripped  stripped gear not replaceable but spare head can be sourced for  ¬£28,Accessories/attachments
rcint_48853,not working hose blocked and small tear cleared blockage and advised to use gorilla tape to repair tear,Blockage
rcint_48897,"Not working Dry switch contacts Opened cleaner, cleaned switch contacts, checked charger - all OK",Power/battery
rcint_48913,Not working.  Fuse checked and OK so it's not that. Break found in cable close to the plug. Cable shortened by 150mm and rewired to plug.  All now OK.,Cable/cord
rcint_48915,"Won't charge up Battery in poor condition, so needs new battery.  Charger tested and OK.",Power/battery
rcint_48963,Doesn't pick up dirt hose unclipped Reattached inner hose.,Hose/tube/pipe
rcint_48971,Only works by pulsing Pulses  Possibly a failing battery.  Maybe borrow one to find out?,Internal damage
rcint_48987,Doesn't hold a charge Battery at end of life  Buy a new battery,Power/battery
rcint_48994,Loud noise and burning smell Ran out of time,Overheating
rcint_49016,Making a funny noise,Other
rcint_49024,Wire comes out Broken mains cable Stripped back cable and recrimped,Cable/cord
rcint_49029,Trigger does not stay on Switch not making good contact Cleaned switch,Button/switch
rcint_49060,Not picking up.  Brushes don't spin. Belt driving brush came off motor shaft.,Motor
rcint_49075,not working broken neutral wire at plug rewired,Cable/cord
rcint_49078,cable damaged Mains cable frayed exposing live wire Cable insulated with electrical tape plus heat-shrink plug replaced,Cable/cord
rcint_49091,Light comes on but charging unit doesn't charge Website advises to call manufacturer. Possibly still in warranty.  Contact company and check warranty. Website advice on their website,Power/battery
rcint_49096,Vacuum cleaner working but bag or filter has been put in wrong place Filter catch on one side appears faulty. Refer to manufacturer.  Refer to manufacturer.,Filter
rcint_49113,Motor won't run but lights work Motor not working,Motor
rcint_49129,Pushing down on left button.  Sometimes doesn't work Checked switch and bo fault found.,Button/switch
rcint_49148,Power supply fault Broken wire - live  Advised to replace two core cable & plug.  User happy to do this himself.,Cable/cord
rcint_49158,No suction - blockage? Sock found in the suction hose! Sock removed from hose - hoover now works.,Blockage
rcint_49170,Motor is smoking Burnt out wire  Wire resoldered but did not solve the problem - unable to diagnose other fault.,Motor
rcint_49181,Insufficient suction New air filter needed  Advised filter needs replacing.,Filter
rcint_49183,Stops and starts when lead is moved. Broken connection inside the cable near where it enters the hoover. Broken cable cut off and rewired.,Cable/cord
rcint_55382,Doesn't suck dust,Blockage
rcint_55399,Low vacuming strenght The vacuum cleaner's tube needed cleaning,Brush
restart_9419,Wet Dry Cleaner - doesn't suck water,Blockage
restart_1885,customer shown what needs to be done,Other
restart_9457,won't power on,Power/battery
restart_18111,Water shampoo stopped flowing,Other
restart_23746,"Not working.Checked all wiring, parts, switches and brush motors...all OK.  Motor showed no continuity.Owner to purchase and fit a new motor.",Motor
restart_23747,Keeps cutting out.Item shuts down under load.Cable showed intermittent voltages so replaced cable. Source new battery and charger.,Power/battery
restart_23748,Powers on but motor not working.Switch has failed.  Need to purchase switch and install,Button/switch
restart_23749,"Owner purchased spare part to fix, but can't work out how to reassemble.Worked with owner to work out reassembly....one screw left at the end, but all working fine.",Other
restart_23750,o ring fitted & mechanism freed up,External damage
restart_23751,green power button levered out to gain access to hidden screw allowing cover to be removed  & access circuit board with the tactile switch,Button/switch
restart_23752,diode replaced n joints re soldered,Internal damage
restart_23754,triac replaced,Internal damage
restart_23755,no data. no data,Poor data
restart_23756,Cracked fan.  Glued back together but if breaks again will buy new part - owner told what this is.,Internal damage
restart_23757,owner claimed its under 4 year warranty after asking for it to be examined,Poor data
restart_23758,"Sticky ball. Took apart, cleaned and put it back together again. Replacement filters recommended",Accessories/attachments
restart_23759,new battery fitted,Power/battery
restart_23760,hose replaced,Hose/tube/pipe
restart_23762,"Not working, and red light on and brush not turning.Needed filters and brushes to be cleaned, and explained that light on when the brush is set to 'off' for wood floors etc.",Filter
restart_23763,Won't pick up dirtPressure valve kept releasing due to blockage in auxillary suction pipe. Removed blockage and now working fine.,Blockage
restart_23764,Won't pick up dirtPressure valve kept releasing due to blockage in auxillary suction pipe. Removed blockage and now working fine.,Blockage
restart_23765,Suction minimal and motor is overworking and smell burning.Removed lint from outlet filter and motor inlet. PAT tested OK. Heavy arcing from motor. Unable to get to motor due to multiple glue in plug.,Motor
restart_23766,brush head connectors replaced & now working fine,Brush
restart_23767,roller cleaned,Wheels/rollers
restart_23768,Filter and suction pipe blocked.  Showing bag full but is empty.,Filter
restart_23769,Filter blocked - spare filters advised.,Filter
restart_23770,Hose keeps detaching from cuff.Adhesive gone.Cleaned up and reglued into place.,Hose/tube/pipe
restart_23771,on/off switch dismantled & cleaned now works ok,Button/switch
restart_23772,"Cable pulled resulting in loose connection behind motor (on live). Once motor unscrewed/removed, easy to reconnect",Cable/cord
restart_23773,"No power, and not fuse.Unable to get into the machine with hidden screws and limited time.  Checking out online and will send links through later.",Poor data
restart_23774,Not powering up. Mains cable had a break in the live wire.,Cable/cord
restart_23775,New filter required,Filter
restart_23776,Not switching on.  Took apart and working.  Re-assembled and not working.  Owner to try re-assembling at home.,Poor data
restart_23777,On button not staying on.  New part needed.  Owner to order and fix.,Button/switch
restart_23778,Pin is broken so machine cannot be charged. Difficult to dismantle. Owner suggested to purchase new lead and transformer,Cable/cord
restart_23779,new battery needed,Power/battery
restart_23780,beta bar belt replaced,Motor
restart_23781,cleaned in switch,Button/switch
restart_23782,new battery needed & fitted,Power/battery
restart_23783,new brushes fitted,Brush
restart_23784,drive belt replaced,Motor
restart_23785,Powers on but doesn't work. Motor not turning. Very corroded and would need to be replaced professionally .,Motor
restart_23786,"After disassembly and cleaning of filters, one part of the jug had become mis-aligned by the user resulting in suction not reaching the hose. Checking methodically through the assembly, we found this step and fitted it correctly. Pay attention to where arrows are painted on dust-buckets/jugs, as these show where a part could be installed the wrong way round (Murphy's law).",Dustbag/canister
restart_23787,Turns off immediately after turning on. Opportunity to return in warranty period missed.,Other
restart_23788,charge issue,Power/battery
restart_23789,suction fixed,Blockage
restart_23794,Loss of suction.Checked over machine and discovered too many filters in the machine and also lots of dirt in them.   Cleaned and removed the surplus and now works.,Filter
restart_23795,new battery needed,Power/battery
restart_23796,belt for rotary head slipped. part was opened up and belt replaced,Motor
restart_23797,needed cleaning,Filter
restart_29281,Not charging.  Thought to be battery problem.,Power/battery
restart_29282,"Flex return not working - unable to fix. Nevertheless, it still vacuums.",Cable/cord
restart_29283,"Stopped working.PAT tested, cleaned out and looked over...all working.",Filter
restart_23799,Brushes not working. Drive belt broken. Advised owner which part was required and where to order. Possible she will be able to fit herself now that she's seen what to do.,Motor
restart_23800,Carpet cleaner is leaking at bottom of machine. A part had come loose. Fixed with glue and re-assembled.,External damage
restart_29284,Doesn't keep its charge. Verified that battery is at end of life. Showed owner where to obtain a replacement online. 2 screws need to be removed to fit the replacement - owner might try this herself. Difficulty removing / refitting the canister. Blew out with compressed air to give it a good clean and seems to work a bit better - terrible design though.,Dustbag/canister
restart_29285,blocked inlet tube with hairs,Blockage
restart_23801,Special tools required,Poor data
restart_29286,"The rotor was not working properly, catching and lagging. The Restarter diagnosed that connection pins had been oxidised over time. After cleaning the pins, it works again. The pins were accessible from the outside of the casing, even though set in deeper, but not out of reach. If the owner would know what to look for, they could properly clean and recover the vacuum to full working order themselves.",Other
restart_29287,"Case clip broken. Temporally fixed with a cable tie, found replacement part on ebay.",External damage
restart_29288,Control board fault.,Internal damage
restart_29289,"Solenoid valve not working, need replacement",Internal damage
restart_29290,Dead motor.,Motor
restart_29291,Dead motor.,Motor
restart_29292,Totally clogged through having been used without a bag!,Blockage
restart_29293,Kept stopping. Hairs interfering with the brushes removed.,Blockage
restart_29295,Parts needed,Poor data
restart_29297,"Potentially repairable, however we did not have the very long torx security screwdriver required to open it.",Poor data
restart_29298,Blocked and disconnected hose,Blockage
restart_29299,Frayed hose - shortened and reattached.,Hose/tube/pipe
restart_29300,Not spraying water; pump broken - needs replacing?,Motor
restart_29301,Part fixed then signposted to spare part,Poor data
restart_29302,Switch not pushing to connect.  Unable to access to repair properly but glued handle back in place and working when left Repair Cafe.,Button/switch
restart_29303,Not sucking.  Filter cleaned and owner shown how to do it themselves in future.,Filter
restart_24221,Checking OK to use.,Poor data
restart_24222,Fault with battery identified.,Power/battery
restart_24224,Filters needed cleaning,Filter
restart_29304,"Needs specialised overhaul/service, repairer advised what is required.",Other
restart_29305,Power plug problem. Need to contact manufacturer,Power/battery
restart_29306,Tubes blocked but could be cleared out at home.,Blockage
restart_29307,Turns on for a few seconds and then turns off again.All works fine and issue can't be replicated.,Other
restart_29308,Miele Vacum - there is a problem with a cord. I thinks it might be broken/disconnected right where it connects to the engine. Could not find any issue or discover the cause of the fault.,Internal damage
restart_29309,Makes and awful noise and doesn't suck.Metal shelf bracket found in the hose...removed and now works fine.,Blockage
restart_29310,No power.Loose fuse connection in plug - fixed.And looks like a faulty switch - buy replacement and install to get it working again.,Button/switch
restart_29311,"When it kicks into high mode it cuts out.  Not a battery problem and no blockage anywhere, so can only assume it's a motor problem?. Wiring, motor, microswitches, LED headlights in the floor head and PCB are OK. No mechanical seizure.May be a fault in the battery/control unit, but no way to test. Suggested contacting manufacturer.",Motor
restart_24225,"Hoover wheels,plu and motor fixed.",Motor
restart_29312,We had 2 of these and they were all blocked up with dirt!. The unit was disassembled and cleaned thoroughly with an Air Duster,Blockage
restart_29313,We had 2 of these and they were all blocked up with dirt!. The unit was disassembled and cleaned thoroughly with an Air Duster,Blockage
restart_29314,"Thorough electrical testing revealed a problem with the brushes/commutator. Unit best repaired by replacing the motor, about £40",Motor
restart_29315,cable pulled out too far,Cable/cord
restart_24334,It won't switch on,Power/battery
restart_24227,Had a split in the tube. Solution: Soldered the plastic and fixed the tube,Hose/tube/pipe
restart_24228,Robo hoover going around in circles. Solution: Allen took the hoover apart and mended an internal wheel.,Wheels/rollers
restart_24229,Loose connector. Repairing to keep it going,Internal damage
restart_24230,Not switching on. Not repaired - will come back next time,Poor data
restart_24231,The vacuum's hoover was broken. Needed repair.,Poor data
restart_24232,"Brush on button, stopped working. But on test it worked out fine - not broken.",Poor data
restart_24233,The vacuum doesn't turn on. Michael tried everything but really the vacuum cleaner couldn't be repaired,Poor data
restart_22867,Small piece of plastic on clasp has broken thereby disabling the whole machine,External damage
restart_24234,Machine not spraying. Referred to Repairer 'Ian' in Share and Repair shop,Poor data
restart_24235,Loose connection/circuit. Didn't have correct screwdriver,Motor
restart_24236,It doesn't work.,Poor data
restart_29316,"Stopped working, might be the coil or the motor.Opened up and discovered water damage had caused a lot of corrosion to several internal parts and contacts.  Only way to salvage would be to strip back and get lots of parts of another machine.  Owner decided it was the end of it's life.",Internal damage
restart_29317,"No powerGeneral strip down, cleaned the rotating contacts. I think the problem was that it is one of the older ones with a power switch and a hi lo switch. The lo circuit is not connected to anything and I think it had been accidentally knocked into lo mode. Also put a fuse in. Now works",Internal damage
restart_29318,"When start button pressed, it starts, but when released it stops.On/Off switch would not latch. Stripped down, cleaned machine. Put plastic packing under switch. All working now.",Button/switch
restart_29319,Won't suck up or spin.Drive belt is broken. Shown owner how to replace once she has sourced one.,Motor
restart_29320,Base wont fit together poperly. screwed on loose clip,External damage
restart_29321,"Car Vacuum,. power cord damaged, cut out damaged section and re-terminated.",Cable/cord
restart_29322,"Bruss not spinning. Found replacement belt on ebay, cust will fit",Brush
restart_29323,Broken belt - visitor had spare parts with them - repaired,Motor
restart_29324,needs new battery,Power/battery
restart_29325,Cutting out due to dust accumulation on the moter casing. Recommended a a reverse vaccum and regular cleaning.,Blockage
restart_29326,"Pedal that releases handle not working properly. Cleaned the dust collection system and carpet brushes using compressed air. The pedal mechanism is worn and would need replacing. Owner is happy because now it's been cleaned out the hoover is still usable, they will attempt to source the spare part we've identified.",External damage
restart_29327,Fault found and new part required,Poor data
restart_29328,Brush does not work. Advised guest what part of purchase and return to another session,Brush
restart_29329,Kept cutting out. Removed compacted debris from inside and worked afterwards,Blockage
restart_29330,Hose broken. Advised guest to use either gaffer tape to repair and also showed where a spare can be purchased from.,Hose/tube/pipe
restart_29331,Cut out very quickly. Unable to find instructions to dismantle,Poor data
restart_29332,"Water damaged.  Motor cleaned up.  Motor coil and switch are ok, but electronics damaged.",Internal damage
restart_29333,Loud noise - possibly motor fault?,Motor
restart_29334,Work intermittentlyFilters needed cleaning and emptying as very full of dust.  Explained how to clean for future use.,Filter
restart_29335,Very noisy. It was used without the filter in and wondering if dust stuck in parts where it shouldn't be.Very hard to get open until found video (link below) on how someone else got into one of these.  Managed to clear out all the dust and visitor confident to be able to do it again if happens again.,Blockage
restart_29336,Power picked up but fault not detected.....Signpost to specilaist,Poor data
restart_29340,Max suction setting keeps cutting out the device after 5 seconds of use. Diagnosed - faulty battery has to be sourced from the manufacturer.,Power/battery
restart_29342,Not charging/workingCharger working but not charging. No power in battery pack. No obvious other issues after stripping it down.Suggest purchasing a new battery and seeing if that works.Has had very little use.,Power/battery
restart_29343,"Hasn't worked properly since filter was removed and cleaned.It had stopped charging. Checked all the easy bits like switch, wiring and so on, but without success. Concluded that the fault must lie in the micro-electronics, which are beyond our powers to repair.  Frustrating, since it was about £100 new!She said that it won't go to waste - she'll give it to her children's nursery school to go in the 'role play' corner, being the ideal size for little hands.",Internal damage
restart_29344,"Not working.  Re-soldered brush motor, gave good clean and now working.Filters may need washing.",Motor
restart_29346,"Tube connection not working. Missing O ring, found replacement part customer will fix",Hose/tube/pipe
restart_29347,Broken switch. Not repairable,Button/switch
restart_29348,new battery & head too expensive,Power/battery
restart_29349,blockage removed & cleaned,Blockage
restart_29350,broken internal wire re soldered & fitted,Internal damage
restart_29351,under warranty & will be returned to mfr after inspection,Poor data
restart_29352,Batteries need replacing.  Model number supplied for owner to purchase.  To return next month if can get parts/batteries.,Power/battery
restart_29353,Taken apart.  Motor found to be not working.  Irrepairable.,Motor
restart_29354,Brush was not turning round.,Brush
restart_29355,Motor was broken.,Motor
restart_29356,Does not turn on. Identified that the power button is not clicking/latching when pressed at top or middle; needs to be pressed firms at the lower part (potentially the plastic has worn a bit making it stiff).  Owner delighted!,Button/switch
restart_29357,start button & internally cleaned sorted.....,Button/switch
restart_29358,new battery needed,Power/battery
restart_29359,Power adapter broken,Power/battery
restart_29360,Battery connection and sensorcleaning.,Power/battery
restart_29361,New battery needed. Guidance given.,Power/battery
restart_29362,Temporary fix - owner adbised to obtain new wall cube charger.,Power/battery
restart_29363,Open circuit motor - replacement needed.,Motor
restart_29365,"Won't turn onOn/Off switch broken, and no spare part available to purchase.",Button/switch
restart_29366,Not sucking and stops working when in upright position. No blockages and fuse checked.Motor beyond repair (overheated and seized)Visitor will buy a new motor and fit.,Motor
restart_29367,Poor suction. Check continuity break multiple times - break near plug,Cable/cord
restart_29368,Not working. Clean filter then try again,Filter
restart_29369,Battery wont hold charge. Needed new battery,Power/battery
restart_29370,"snapped cable inside, bought new connector from last event.",Internal damage
restart_29371,Parts on order for next time.,Poor data
restart_29373,No turning on. New battery required,Power/battery
restart_29374,Owner had replaced a spare part but still not working.  Item re-assembled and carefully checked that all re-seated.  Now working.,Poor data
restart_29375,Being worked on for customer,Poor data
restart_36591,Brush was not turning. Gear probably broken but not accessible,Brush
restart_36592,No way to open product,Poor data
restart_36593,Wasn't charging,Power/battery
restart_29376,no suction.,Poor data
